PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,service_id
Yes,No,DSL,No,No,Unknown,No,No,No,12331
Yes,No,Fiber optic,Unknown,No,No,No,No,Unknown,12332
Yes,Yes,Fiber optic,No,No,No,No,No,No,12333
Yes,No,DSL,No,No,No,Yes,No,No,12334
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,12335
Yes,No,Fiber optic,No,No,No,No,No,No,12336
Yes,Yes,DSL,No,No,No,No,Yes,No,12337
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,12338
Yes,Yes,Fiber optic,No,No,No,No,No,No,12339
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,12340
Yes,No,No,No,No,No,No,No,No,12341
No,No,DSL,No,No,No,Yes,No,No,12342
No,No,Fiber optic,No,No,No,No,No,No,12343
Yes,Yes,No,No,No,No,No,No,No,12344
No,No,DSL,No,Yes,No,No,No,No,12345
Yes,Yes,DSL,Yes,No,Yes,No,No,No,12346
Yes,Yes,No,No,No,No,No,No,No,12347
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,12348
Yes,No,Fiber optic,No,No,No,No,No,No,12349
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,12350
Yes,Yes,No,No,No,Yes,No,No,No,12351
Yes,Yes,No,No,Yes,No,No,No,No,12352
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,12353
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,12354
Yes,No,Fiber optic,No,No,No,No,No,No,12355
Yes,No,Fiber optic,Yes,No,No,Yes,No,No,12356
Yes,No,Fiber optic,No,Yes,No,No,No,Yes,12357
Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,12358
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12359
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,12360
Yes,No,Fiber optic,No,No,No,No,No,Yes,12361
Yes,Yes,DSL,No,No,No,No,Yes,No,12362
No,No,Fiber optic,No,No,No,Yes,No,No,12363
Yes,Yes,No,No,No,No,No,No,No,12364
Yes,No,Fiber optic,No,No,No,Yes,No,No,12365
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,12366
No,No,Fiber optic,Yes,No,No,No,No,No,12367
Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,12368
No,No,Fiber optic,No,No,No,Yes,Yes,Yes,12369
Yes,Yes,DSL,Yes,No,No,Unknown,No,No,12370
Yes,Unknown,Fiber optic,Yes,Yes,No,No,No,No,12371
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,12372
Yes,Yes,DSL,No,No,Unknown,No,No,No,12373
Yes,No,No,No,No,No,No,No,No,12374
No,No,DSL,No,No,No,No,No,No,12375
Yes,No,Fiber optic,Unknown,No,No,Yes,Yes,No,12376
Yes,Yes,DSL,No,No,No,No,No,No,12377
No,No,DSL,No,No,No,No,No,No,12378
Yes,No,DSL,No,No,Yes,No,No,No,12379
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12380
Yes,No,Fiber optic,No,No,No,No,No,No,12381
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12382
Yes,Yes,No,No,No,No,No,No,No,12383
Yes,No,Fiber optic,No,No,No,No,Yes,No,12384
Yes,No,Fiber optic,No,No,No,No,No,No,12385
Yes,Yes,Fiber optic,No,Unknown,No,Yes,No,No,12386
Yes,Yes,DSL,Yes,No,No,No,No,No,12387
Yes,No,Fiber optic,No,No,No,No,No,No,12388
Yes,No,DSL,No,No,No,No,No,No,12389
Yes,Unknown,DSL,No,No,No,No,No,No,12390
Yes,No,Fiber optic,Unknown,No,No,No,No,No,12391
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,12392
Yes,Yes,Fiber optic,No,No,No,No,No,No,12393
Yes,Yes,No,No,No,No,No,No,No,12394
No,No,DSL,No,No,No,No,No,No,12395
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12396
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,12397
Yes,No,Fiber optic,Unknown,No,No,No,No,No,12398
Yes,No,No,No,No,No,No,No,No,12399
Yes,Yes,DSL,No,Yes,No,No,No,Unknown,12400
Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,12401
Yes,Yes,DSL,No,No,Yes,No,No,No,12402
Yes,No,DSL,No,No,Unknown,Yes,No,Yes,12403
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,12404
Yes,No,No,No,No,No,No,No,No,12405
Yes,Yes,DSL,Unknown,Yes,No,No,No,Yes,12406
No,No,Fiber optic,No,No,No,Yes,No,No,12407
Yes,Yes,Fiber optic,No,No,No,No,No,No,12408
Yes,Unknown,Fiber optic,Yes,No,Unknown,Yes,Yes,Yes,12409
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,12410
Yes,No,DSL,No,No,No,No,No,No,12411
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,12412
Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,12413
Yes,Yes,DSL,No,No,No,No,Yes,No,12414
Yes,No,Fiber optic,No,Yes,Yes,Unknown,No,No,12415
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12416
Yes,Unknown,Fiber optic,No,No,No,No,No,No,12417
Yes,No,DSL,Yes,No,No,No,No,No,12418
Yes,Yes,No,No,No,No,No,No,No,12419
Yes,Yes,DSL,No,No,Yes,No,No,No,12420
Yes,Yes,No,No,No,No,No,No,No,12421
Yes,No,Fiber optic,No,No,No,No,No,No,12422
Yes,Yes,DSL,No,No,No,No,Yes,No,12423
Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,12424
Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,12425
Yes,Yes,DSL,Unknown,No,No,No,No,Yes,12426
Yes,No,Fiber optic,No,No,Yes,No,Yes,No,12427
Yes,No,DSL,No,No,No,No,No,No,12428
Yes,Yes,Fiber optic,No,No,No,No,No,No,12429
Yes,No,Fiber optic,No,Yes,No,No,No,No,12430
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,12431
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,12432
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,12433
Yes,No,Fiber optic,No,No,No,No,Yes,No,12434
No,No,No,No,No,No,No,No,No,12435
Yes,Yes,DSL,No,No,No,No,Unknown,Yes,12436
Yes,Yes,DSL,Yes,No,No,No,No,No,12437
Yes,Yes,Fiber optic,No,No,No,No,No,No,12438
Yes,No,No,No,No,No,No,No,No,12439
Yes,No,Fiber optic,Yes,No,No,Yes,No,No,12440
Yes,Yes,Fiber optic,No,No,No,No,No,Unknown,12441
Yes,Yes,No,No,No,No,No,No,No,12442
No,No,Fiber optic,No,No,No,No,No,No,12443
Yes,No,DSL,No,No,Yes,No,No,No,12444
Yes,No,DSL,No,No,Unknown,No,Unknown,No,12445
Yes,Yes,No,No,No,No,No,No,No,12446
No,No,No,No,No,No,No,No,No,12447
Yes,Yes,DSL,Unknown,No,Yes,Yes,No,No,12448
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,12449
Yes,Yes,DSL,No,No,No,No,No,No,12450
Yes,Yes,No,No,No,No,No,No,No,12451
Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,12452
Yes,No,Fiber optic,No,No,No,No,Yes,Unknown,12453
No,No,No,No,No,No,No,No,No,12454
Yes,No,No,No,No,No,No,No,No,12455
No,No,Fiber optic,No,No,Yes,No,No,No,12456
Yes,No,DSL,No,Unknown,Unknown,No,No,No,12457
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,12458
No,No,Fiber optic,No,Yes,Unknown,No,No,No,12459
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,12460
Yes,No,Fiber optic,No,No,No,No,No,No,12461
Yes,No,DSL,Yes,No,Yes,No,Unknown,No,12462
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,12463
Yes,Yes,No,No,No,No,No,No,No,12464
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,12465
Yes,No,Fiber optic,No,No,No,No,No,No,12466
Yes,Yes,DSL,No,No,No,No,No,No,12467
Yes,Yes,No,No,No,No,No,No,No,12468
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,12469
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,12470
Yes,Yes,DSL,Unknown,No,Yes,No,No,No,12471
Yes,Yes,DSL,No,Yes,No,No,No,No,12472
Yes,Yes,No,No,No,No,No,No,No,12473
Yes,No,Fiber optic,No,Yes,No,No,No,Yes,12474
Yes,No,No,No,No,No,No,No,No,12475
Yes,No,No,No,No,No,No,No,No,12476
Yes,Yes,No,No,No,No,No,No,No,12477
Yes,No,DSL,No,No,No,Yes,Yes,No,12478
Yes,No,Fiber optic,Unknown,No,No,Yes,No,No,12479
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,12480
Yes,Yes,DSL,No,No,Yes,No,Yes,No,12481
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,12482
Yes,Yes,Fiber optic,Unknown,No,No,No,No,No,12483
No,No,Fiber optic,No,Unknown,Yes,No,No,No,12484
Yes,Yes,Fiber optic,No,No,No,No,No,No,12485
Yes,No,No,No,No,No,No,No,No,12486
Yes,Yes,Fiber optic,No,No,No,No,No,No,12487
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,12488
Yes,Yes,DSL,No,No,No,No,No,No,12489
Yes,Yes,DSL,No,Unknown,No,Yes,No,No,12490
Yes,Yes,Fiber optic,Unknown,Yes,No,No,No,No,12491
Yes,No,No,No,No,No,No,No,No,12492
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,12493
No,No,DSL,No,Unknown,No,Yes,No,Unknown,12494
Yes,No,Fiber optic,No,No,No,No,No,No,12495
Yes,Yes,Fiber optic,Unknown,No,No,Yes,No,No,12496
Yes,Yes,No,No,No,No,No,No,No,12497
Yes,Yes,DSL,No,No,No,No,No,No,12498
Yes,No,Fiber optic,Yes,No,No,Yes,No,No,12499
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,12500
Yes,No,No,No,No,No,No,No,No,12501
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,12502
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,12503
Yes,Yes,DSL,No,No,No,No,No,Yes,12504
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12505
Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,12506
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12507
Yes,No,Fiber optic,No,Yes,No,No,No,No,12508
Yes,No,DSL,No,No,No,No,Unknown,Yes,12509
Yes,Yes,DSL,No,Yes,No,No,No,Yes,12510
Yes,No,Fiber optic,No,No,Yes,No,No,No,12511
Yes,No,Fiber optic,Unknown,No,No,No,Unknown,No,12512
Yes,No,Fiber optic,No,No,No,No,No,No,12513
Yes,Yes,Fiber optic,No,No,No,No,No,No,12514
Yes,No,Fiber optic,No,No,No,Unknown,No,No,12515
Yes,Yes,No,No,No,No,No,No,No,12516
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,12517
Yes,Yes,DSL,No,No,No,No,No,No,12518
Yes,Yes,DSL,No,No,Unknown,No,No,Yes,12519
Yes,No,DSL,No,No,No,No,No,No,12520
Yes,No,Fiber optic,Unknown,No,No,Yes,No,No,12521
Yes,No,Fiber optic,No,Unknown,No,No,No,No,12522
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12523
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,12524
Yes,No,Fiber optic,Yes,No,Unknown,Yes,No,No,12525
Yes,No,Fiber optic,No,No,No,No,No,No,12526
Yes,Yes,DSL,No,No,No,No,No,No,12527
Yes,No,Fiber optic,No,No,No,No,Yes,No,12528
Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,12529
Yes,No,DSL,Yes,No,Unknown,No,Yes,No,12530
Yes,Yes,No,No,No,No,No,No,No,12531
Yes,Yes,No,No,No,No,No,No,No,12532
Yes,Yes,DSL,No,No,No,No,No,No,12533
Yes,Yes,No,No,No,No,No,No,No,12534
No,No,Fiber optic,No,No,No,Yes,Yes,No,12535
Yes,No,DSL,No,No,No,No,Yes,Yes,12536
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,12537
Yes,No,DSL,No,No,No,No,No,No,12538
Yes,Unknown,DSL,No,No,Yes,No,No,Unknown,12539
Yes,No,No,No,No,No,No,No,No,12540
Yes,No,Fiber optic,Unknown,Yes,No,No,Yes,No,12541
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,12542
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,12543
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12544
Yes,Yes,Fiber optic,No,Yes,No,Yes,Unknown,No,12545
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,12546
Yes,Yes,Fiber optic,No,No,No,No,No,No,12547
Yes,No,No,No,No,No,No,No,No,12548
Yes,Yes,DSL,No,No,Yes,No,No,Unknown,12549
Yes,Yes,DSL,Yes,No,No,No,Yes,No,12550
Yes,Yes,No,No,No,No,No,No,No,12551
Yes,No,No,No,No,No,No,No,No,12552
Yes,No,No,No,No,No,No,No,No,12553
Yes,Yes,No,No,No,No,No,No,No,12554
Yes,No,DSL,No,No,Unknown,No,Yes,No,12555
Yes,Yes,DSL,No,No,Yes,No,Yes,No,12556
Yes,No,No,No,No,No,No,No,No,12557
Yes,Yes,DSL,No,No,No,No,Yes,No,12558
Yes,Yes,No,No,No,No,No,No,No,12559
Yes,No,Fiber optic,No,Yes,Unknown,No,Unknown,No,12560
Yes,No,DSL,No,No,Yes,No,Yes,No,12561
Yes,Yes,DSL,No,Yes,No,No,No,No,12562
Yes,No,No,No,No,No,No,No,No,12563
Yes,No,No,No,No,No,No,No,No,12564
Yes,Yes,Fiber optic,No,Yes,No,Unknown,Yes,No,12565
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,12566
Yes,No,DSL,No,No,Unknown,No,No,Yes,12567
No,No,Fiber optic,No,No,No,No,No,No,12568
No,No,No,No,No,No,No,No,No,12569
Yes,Yes,DSL,No,No,Yes,No,No,No,12570
Yes,No,Fiber optic,No,No,No,No,No,Yes,12571
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,12572
Yes,Yes,No,No,No,No,No,No,No,12573
Yes,Yes,Fiber optic,Unknown,No,No,No,No,No,12574
Yes,Yes,DSL,No,No,No,No,No,Yes,12575
Yes,No,DSL,No,No,No,No,No,No,12576
Yes,Yes,No,No,No,No,No,No,No,12577
Yes,Yes,DSL,No,No,No,No,No,No,12578
No,No,No,No,No,No,No,No,No,12579
Yes,Unknown,DSL,No,Unknown,No,No,No,No,12580
Yes,Yes,No,No,No,No,No,No,No,12581
Yes,Yes,DSL,No,No,No,No,No,No,12582
Yes,No,DSL,No,Yes,Unknown,No,No,No,12583
Yes,Yes,No,No,No,No,No,No,No,12584
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12585
Yes,No,Fiber optic,Yes,No,No,No,Yes,No,12586
Yes,Yes,No,No,No,No,No,No,No,12587
Yes,No,DSL,Yes,No,No,No,Yes,No,12588
Yes,Yes,No,No,No,No,No,No,No,12589
Yes,No,Fiber optic,Yes,No,No,No,No,No,12590
Yes,No,Fiber optic,No,No,No,No,No,No,12591
Yes,Yes,No,No,No,No,No,No,No,12592
Yes,No,Fiber optic,Yes,Unknown,No,Yes,No,Yes,12593
Yes,Yes,DSL,No,No,No,Unknown,Unknown,Yes,12594
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Unknown,12595
Yes,No,Fiber optic,Unknown,No,Unknown,No,No,No,12596
Yes,Yes,DSL,No,Yes,No,No,No,No,12597
Yes,No,Fiber optic,No,No,No,Yes,No,No,12598
Yes,No,Fiber optic,No,No,No,No,No,No,12599
Yes,No,No,No,No,No,No,No,No,12600
Yes,No,DSL,No,No,Yes,Yes,Yes,No,12601
No,No,Fiber optic,No,No,No,No,No,No,12602
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,12603
Yes,No,No,No,No,No,No,No,No,12604
Yes,Yes,No,No,No,No,No,No,No,12605
Yes,Yes,DSL,No,No,No,No,No,No,12606
Yes,No,Fiber optic,No,No,No,No,Yes,No,12607
Yes,No,Fiber optic,No,No,Yes,Unknown,No,No,12608
Yes,Yes,Fiber optic,Unknown,No,No,No,No,Yes,12609
Yes,Yes,DSL,No,No,No,No,No,Yes,12610
No,No,Fiber optic,No,No,No,No,No,No,12611
Yes,No,Fiber optic,No,No,Unknown,Yes,Yes,No,12612
Yes,No,Fiber optic,No,Yes,No,No,No,No,12613
Yes,No,DSL,Unknown,No,No,Yes,No,Yes,12614
Yes,No,DSL,Yes,No,Yes,No,No,No,12615
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,12616
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Unknown,12617
Yes,Yes,DSL,No,Unknown,No,No,No,No,12618
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,12619
No,No,DSL,No,No,No,No,No,No,12620
Yes,No,Fiber optic,No,No,No,No,No,No,12621
Yes,No,Fiber optic,No,No,No,No,No,No,12622
Yes,Yes,No,No,No,No,No,No,No,12623
Yes,No,No,No,No,No,No,No,No,12624
No,No,Fiber optic,No,No,No,No,Yes,No,12625
Yes,Yes,Fiber optic,No,Yes,Unknown,No,No,No,12626
Yes,No,Fiber optic,No,No,Yes,No,No,No,12627
Yes,Yes,Fiber optic,No,No,No,No,No,No,12628
Yes,No,Fiber optic,No,Yes,No,Unknown,No,No,12629
Yes,No,Fiber optic,No,Yes,No,No,No,No,12630
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,12631
Yes,Unknown,Fiber optic,Unknown,No,Yes,No,No,No,12632
Yes,Yes,Fiber optic,No,No,No,Unknown,No,No,12633
Yes,Yes,DSL,No,No,No,No,No,Yes,12634
Yes,Yes,No,No,No,No,No,No,No,12635
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,12636
Yes,No,Fiber optic,Yes,No,No,No,No,No,12637
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12638
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,12639
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,12640
Yes,No,Fiber optic,No,No,No,No,No,No,12641
Yes,Yes,DSL,No,No,No,No,No,No,12642
Yes,Unknown,DSL,Yes,No,No,Yes,No,No,12643
Yes,Yes,No,No,No,No,No,No,No,12644
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12645
Yes,Yes,Fiber optic,No,Yes,No,No,Unknown,Yes,12646
No,No,DSL,No,No,No,No,No,No,12647
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,12648
Yes,No,Fiber optic,No,No,No,No,No,Yes,12649
Yes,No,DSL,No,No,Yes,No,No,No,12650
Yes,Yes,DSL,Yes,No,No,No,Yes,No,12651
Yes,Yes,Fiber optic,No,No,No,No,No,No,12652
Yes,Yes,Fiber optic,No,No,No,No,No,No,12653
Yes,Yes,No,No,No,No,No,No,No,12654
Yes,No,Fiber optic,No,No,No,Yes,No,No,12655
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,12656
Yes,Yes,DSL,No,Yes,Yes,No,Unknown,No,12657
No,No,DSL,No,Unknown,Yes,Unknown,No,No,12658
Yes,No,Fiber optic,Yes,No,No,No,No,No,12659
Yes,Yes,No,No,No,No,No,No,No,12660
Yes,No,Fiber optic,Yes,No,No,Yes,No,No,12661
Yes,No,Fiber optic,No,No,Unknown,No,No,No,12662
Yes,No,DSL,No,No,No,No,No,No,12663
Yes,Yes,DSL,Yes,No,No,No,Yes,No,12664
Yes,Unknown,Fiber optic,Yes,No,No,No,No,No,12665
Yes,Yes,DSL,No,No,No,No,No,No,12666
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,12667
No,No,Fiber optic,No,No,No,Unknown,No,Yes,12668
Yes,No,Fiber optic,No,No,No,No,No,No,12669
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,12670
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12671
Yes,Yes,Fiber optic,No,Unknown,No,No,No,Yes,12672
Yes,No,Fiber optic,No,No,No,No,No,Unknown,12673
No,No,Fiber optic,No,Yes,Yes,No,No,No,12674
Yes,No,DSL,Yes,No,No,No,Yes,No,12675
Yes,No,No,No,No,No,No,No,No,12676
Yes,No,Fiber optic,No,No,Yes,No,No,No,12677
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,12678
Yes,No,Fiber optic,No,Yes,No,No,No,No,12679
Yes,Yes,Fiber optic,No,No,Unknown,No,Yes,No,12680
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,12681
Yes,No,DSL,No,No,No,No,No,No,12682
Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,12683
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12684
Yes,Yes,DSL,No,Yes,No,No,No,No,12685
Yes,No,Fiber optic,Yes,No,No,No,Unknown,No,12686
Yes,No,DSL,No,No,No,No,No,No,12687
Yes,No,Fiber optic,No,No,No,No,No,No,12688
No,No,DSL,No,No,No,No,No,No,12689
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,12690
Yes,No,Fiber optic,No,No,Yes,No,No,No,12691
Yes,No,DSL,No,Yes,Yes,No,No,Yes,12692
Yes,No,DSL,No,No,Yes,No,Yes,Yes,12693
No,No,Fiber optic,Yes,Yes,No,No,No,No,12694
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,12695
Yes,Yes,DSL,No,No,No,No,No,No,12696
Yes,No,No,No,No,No,No,No,No,12697
Yes,Yes,No,No,No,No,No,No,No,12698
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Unknown,12699
Yes,No,DSL,Yes,No,No,No,Yes,No,12700
Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,12701
Yes,No,Fiber optic,Yes,No,Unknown,No,No,No,12702
Yes,Yes,Fiber optic,Unknown,No,Unknown,No,No,No,12703
Yes,No,Fiber optic,No,Yes,No,No,No,Yes,12704
Yes,No,No,No,No,No,No,No,No,12705
Yes,Yes,Fiber optic,Yes,No,No,No,Unknown,No,12706
No,No,Fiber optic,Yes,No,No,No,No,No,12707
No,No,Fiber optic,No,No,Yes,Yes,No,Yes,12708
Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,12709
No,No,Fiber optic,No,Yes,No,No,No,No,12710
Yes,Yes,Fiber optic,No,No,No,No,No,No,12711
No,No,DSL,No,No,No,No,No,No,12712
Yes,No,Fiber optic,No,No,No,Yes,No,No,12713
Yes,Yes,Fiber optic,No,No,No,No,No,Unknown,12714
Yes,Unknown,DSL,Unknown,No,Yes,Yes,No,No,12715
Yes,No,Fiber optic,No,No,No,Yes,No,Unknown,12716
Yes,No,Fiber optic,Yes,No,No,Yes,No,No,12717
Yes,No,No,No,No,No,No,No,No,12718
Yes,Yes,DSL,Yes,Yes,No,No,No,No,12719
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,12720
Yes,Yes,Fiber optic,No,No,No,No,No,No,12721
Yes,Yes,DSL,No,No,No,No,Yes,No,12722
Yes,Yes,No,No,No,No,No,No,No,12723
No,No,Fiber optic,Yes,No,No,No,No,No,12724
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,12725
Yes,Yes,No,No,No,No,No,No,No,12726
Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,12727
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,12728
Yes,No,No,No,No,No,No,No,No,12729
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,12730
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,12731
Yes,Yes,No,No,No,No,No,No,No,12732
Yes,Yes,Fiber optic,No,No,No,Unknown,No,No,12733
Yes,No,DSL,No,No,No,No,Yes,No,12734
No,No,DSL,No,No,No,No,No,Yes,12735
Yes,Yes,Fiber optic,No,No,No,Yes,Unknown,Yes,12736
Yes,No,Fiber optic,No,No,No,Yes,No,No,12737
Yes,No,No,No,No,No,No,No,No,12738
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,12739
No,No,Fiber optic,No,Yes,No,No,No,Yes,12740
Yes,No,No,No,No,No,No,No,No,12741
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,12742
Yes,Yes,Fiber optic,No,No,No,No,No,No,12743
Yes,Yes,No,No,No,No,No,No,No,12744
Yes,Yes,Fiber optic,No,No,No,Yes,No,Unknown,12745
Yes,No,Fiber optic,Yes,No,No,No,No,No,12746
Yes,Yes,DSL,Yes,No,Unknown,No,No,No,12747
Yes,Yes,No,No,No,No,No,No,No,12748
No,No,Fiber optic,No,No,No,No,Yes,Yes,12749
Yes,No,DSL,No,No,No,Yes,No,Unknown,12750
Yes,No,Fiber optic,No,No,Unknown,No,No,No,12751
Yes,Yes,DSL,No,No,No,No,No,No,12752
Yes,No,Fiber optic,No,No,No,No,Yes,Unknown,12753
Yes,No,Fiber optic,No,No,No,Yes,No,No,12754
Yes,No,Fiber optic,No,No,Yes,Unknown,No,No,12755
Yes,No,DSL,Yes,No,No,Yes,No,No,12756
No,No,Fiber optic,No,Yes,Yes,No,Yes,No,12757
Yes,Yes,Fiber optic,No,No,No,No,No,No,12758
Yes,Unknown,DSL,Yes,No,No,No,No,No,12759
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,12760
Yes,No,Fiber optic,Yes,Unknown,No,No,No,No,12761
Yes,No,Fiber optic,No,No,No,No,Yes,No,12762
Yes,No,DSL,No,No,Yes,No,No,No,12763
Yes,Yes,Fiber optic,No,No,No,No,No,No,12764
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,12765
Yes,Yes,Fiber optic,No,No,No,No,No,No,12766
Yes,No,DSL,No,Yes,No,Yes,No,No,12767
Yes,No,No,No,No,No,No,No,No,12768
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,12769
Yes,No,No,No,No,No,No,No,No,12770
Yes,No,DSL,No,No,Yes,Yes,Unknown,No,12771
No,No,DSL,No,Unknown,No,No,No,Yes,12772
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12773
Yes,Yes,No,No,No,No,No,No,No,12774
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,12775
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,12776
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,12777
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,12778
Yes,No,DSL,No,No,No,No,No,Unknown,12779
Yes,Yes,Fiber optic,Unknown,Unknown,No,No,No,Yes,12780
Yes,Yes,Fiber optic,No,Yes,No,Unknown,No,No,12781
Yes,No,DSL,No,No,No,No,No,No,12782
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,12783
Yes,No,No,No,No,No,No,No,No,12784
Yes,Yes,No,No,No,No,No,No,No,12785
Yes,No,DSL,No,No,No,No,No,Yes,12786
Yes,No,DSL,No,No,Yes,No,Yes,Yes,12787
Yes,Yes,DSL,No,No,No,No,Yes,No,12788
Yes,Yes,Fiber optic,No,No,No,No,Yes,Unknown,12789
Yes,No,Fiber optic,No,No,No,No,No,No,12790
No,No,DSL,No,No,No,Yes,No,No,12791
Yes,Unknown,DSL,No,No,No,No,Yes,No,12792
No,No,DSL,No,No,Yes,Yes,Yes,No,12793
Yes,Yes,DSL,No,Yes,No,Yes,No,No,12794
Yes,Yes,No,No,No,No,No,No,No,12795
Yes,No,DSL,No,No,Yes,No,No,Yes,12796
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,12797
